built-in func
abs()                         mut()
all()                         tum()*
any()                         herhangi()
ascii()                       ascii()
bin()                         iki()
bool()                        mantiksal()*
bytearray()                   SKIP
bytes()                       SKIP
callable()                    cagrilabilir()*
chr()                         krk()
classmethod()                 sinifmetodu()*
compile()                     derle()
complex()                     karmasik()*
delattr()                     ozelksil()*
dict()                        sozl()*
dir()                         SKIP
divmod()                      bolkalan()
enumerate()                   numarala()
eval()                        degerl()*
exec()                        yurut()*
filter()                      filtrele()
float()                       noktali()*
format()                      bicimlendir()*
frozenset()                   donmuskume()*
getattr()                     ozeleldeet()*
globals()                     kureseller()
hasattr()                     ozelktasir()*
hash()                        SKIP
help()                        yardim()
hex()                         SKIP
id()                          kiml()
input()                       giris()*
int()                         tam()*
isinstance()                  olusumdur()*
issubclass()                  altsinifidir()*
iter()                        SKIP
len()                         uzunl()
list()                        liste()
locals()                      yereller()
map()                         esle()*
max()                         azami()
memoryview()                  SKIP
min()                         asgari()
next()                        sonraki()
object()                      obje()
oct()                         SKIP
open()                        ac()*
ord()                         kod()
pow()                         us()*
print()                       yazdir()*
property()                    SKIP
range()                       aralik()*
repr()                        temsl()*
reversed()                    tersine()
round()                       yuvarla()
set()                         kume()*
setattr()                     ozelkbelirle()*
slice()                       dilimle()
sorted()                      duzenlenmis()*
staticmethod()                SKIP
str()                         mtn()
sum()                         topla()
super()                       ust()*
tuple()                       ogeli()*
type()                        tur()*
vars()                        degiskenler()*
zip()                         fermuar()

string methods
capitalize()                  ilkharfbuyuk()*
casefold()                    hepsikucuk()
center()                      ortala()
count()                       say()
encode()                      SKIP
endswith()                    ilebiter()
expandtabs()                  SKIP
find()                        bul()
format()                      bicimlendir()*
format_map()                  bicimlendir_esle()*
index()                       endeks()
isalnum()                     alfanumeriktir()*
isalpha()                     alfadir()*
isascii()                     asciidir()
isdecimal()                   ondaliktir()*
isdigit()                     rakamdir()*
isidentifier()                SKIP
islower()                     kucukharftir()*
isnumeric()                   numeriktir()*
isprintable()                 yazilabilirdir()*
isspace()                     bosluktur()
istitle()                     basliktir()*
isupper()                     buyukharftir()*
join()                        birlestir()*
ljust()                       solhiza()
lower()                       kucukharf()*
lstrip()                      solsoy()
maketrans()                   SKIP
partition()                   solbol()*
replace()                     yerinekoy()
rfind()                       sagbul()*
rindex()                      sagendeks()*
rjust()                       saghiza()*
rpartition()                  sagbol()*
rsplit()                      sagayir()
rstrip()                      sagsoy()
split()                       ayir()*
splitlines()                  satirayir()*
startswith()                  degerlebaslar()*
strip()                       soy()
swapcase()                    buyultkucult()*
title()                       ozelisim()*
translate()                   cevir()
upper()                       buyukharf()*
zfill()                       zdoldur()

list methods
append()                      tak()
clear()                       bosalt()*
copy()                        kopyala()
count()                       say()
extend()                      uzat()
index()                       endeks()
insert()                      yerlestir()
pop()                         kopar()
remove()                      cikar()*
reverse()                     tersinecevir()*
sort()                        duzenle()

dict methods
clear()                       bosalt()*
copy()                        kopyala()
fromkeys()                    anahtarlardan()
get()                         eldeet()
items()                       esyalar()*
keys()                        anahtarlar()
pop()                         kopar()
popitem()                     esyakopar()
setdefault()                  varsayilanlayerlestir()
update()                      guncelle()*
values()                      degerler()*

tuple methods
count()                       say()
index()                       endeks()

set methods
add()                         ekle()
clear()                       bosalt()*
copy()                        kopyala()
difference()                  fark()
difference_update()           fark_guncelle()*
discard()                     at()
intersection()                kesisim()*
intersection_update()         kesisim_guncelle()*
isdisjoint()                  ayriktir()*
issubset()                    altkumedir()*
issuperset()                  ustkumedir()*
pop()                         kopar()
remove()                      cikar()*
symmetric_difference()        simetrik_fark()
symmetric_difference_update() simetrik_fark_guncelle()
union()                       birlesim()*
update()                      guncelle()*

file methods
close()                       kapat()
detach()                      SKIP
fileno()                      dosyano()
flush()                       SKIP
isatty()                      SKIP
read()                        oku()
readable()                    okunabilir()
readline()                    satiroku()*
readlines()                   satirlaroku()*
seek()                        ara()
seekable()                    aranabilir()
tell()                        konum()
truncate()                    buda()
writable()                    yazilabilir()*
write()                       yaz()
writelines()                  satirlaryaz()

keywords
and                           ve
as                            soyle*
assert                        eminol
async                         SKIP
await                         bekle
break                         kurtul
case                          durum
class                         sinif*
continue                      devam
def                           tani*
del                           sil
elif                          degilseger*
else                          degilse*
except                        ayricalikta*
False                         Yanlis*
finally                       illa
for                           her
from                          kaynaktan
global                        kuresel*
if                            eger*
import                        ithal
in                            ait
is                            aynidir*
lambda                        SKIP
match                         eslestir*
None                          Yok
nonlocal                      SKIP
not                           degildir
or                            veya
pass                          gec*
raise                         firlat*
return                        don*
True                          Dogru*
try                           dene
while                         dogruyken*
with                          kullan
yield                         sun

exceptions
RecursionError                OzyinelemeHatasi*
ArithmeticError               AritmetikHatasi*
AssertionError                EminolHatasi*
AttributeError                OzellikHatasi*
Exception                     Ayricalik*
EOFError                      DosyaSonuHatasi*
GeneratorExit                 JeneratorCikisi*
ImportError                   IthalHatasi*
IndentationError              SatirbasiHatasi*
IndexError                    EndeksHatasi*
KeyError                      AnahtarHatasi*
KeyboardInterrupt             KlavyeIskesimi*
LookupError                   AratmaHatasi*
MemoryError                   HafizaHatasi*
NameError                     IsimHatasi*
NotImplementedError           SKIP
OSError                       IsletimSistemiHatasi*
OverflowError                 TasmaHatasi*
ReferenceError                ReferansHatasi*
RuntimeError                  IsleyisHatasi*
StopIteration                 TekrarlayisiDurdur*
SyntaxError                   SozdizimHatasi*
TabError                      SekmeHatasi*
SystemError                   SistemHatasi*
SystemExit                    SistemCikisi*
TypeError                     TurHatasi*
UnboundLocalError             BaglantisizYerelHatasi*
UnicodeError                  UnicodeHatasi*
UnicodeEncodeError            SKIP
UnicodeDecodeError            SKIP
UnicodeTranslateError         UnicodeCeviriHatasi*
ValueError                    DegerHatasi*
ZeroDivisionError             SifiraBolumHatasi*
